year,name,age,sex,genotype,value,,
2020,hpv_prevalence,15,female,total,0.063879073,,
2020,hpv_prevalence,20,female,total,0.135885686,,
2020,hpv_prevalence,25,female,total,0.160376668,,
2020,hpv_prevalence,30,female,total,0.161098808,,
2020,hpv_prevalence,35,female,total,0.17729193,,
2020,hpv_prevalence,40,female,total,0.188169807,,
2020,hpv_prevalence,45,female,total,0.174834847,,
2020,hpv_prevalence,50,female,total,0.138201743,,
2020,hpv_prevalence,55,female,total,0.103735596,,
2020,hpv_prevalence,65,female,total,0.085112609,,
2020,hpv_prevalence,70,female,total,0.077394001,,
2020,hpv_prevalence,75,female,total,0.062456738,,
2020,hpv_prevalence,80,female,total,0.052327689,,
2020,hpv_prevalence,85,female,total,0.037651267,,

